contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
AAPL260116P00005000,2025-07-18 13:57:54+00:00,5.0,0.01,0.0,0.0,0.0,0.0,1,0,0.500005,False,REGULAR,USD
AAPL260116P00010000,2025-07-25 18:31:23+00:00,10.0,0.01,0.0,0.0,0.0,0.0,1,0,0.500005,False,REGULAR,USD
AAPL260116P00015000,2025-06-24 14:51:22+00:00,15.0,0.02,0.0,0.02,0.0,0.0,16,127,1.2343788281249999,False,REGULAR,USD
AAPL260116P00020000,2025-08-05 13:30:01+00:00,20.0,0.01,0.0,0.0,0.0,0.0,5,0,0.500005,False,REGULAR,USD
AAPL260116P00025000,2025-06-24 18:28:02+00:00,25.0,0.01,0.0,0.22,0.0,0.0,1,8,1.2480506347656248,False,REGULAR,USD
AAPL260116P00030000,2025-06-25 16:56:19+00:00,30.0,0.01,0.0,0.21,0.0,0.0,1,2364,1.1328168359375002,False,REGULAR,USD
AAPL260116P00035000,2025-07-25 19:45:13+00:00,35.0,0.01,0.0,0.0,0.0,0.0,10,0,0.500005,False,REGULAR,USD
AAPL260116P00040000,2025-07-11 16:57:25+00:00,40.0,0.01,0.0,0.0,0.0,0.0,10,0,0.500005,False,REGULAR,USD
AAPL260116P00045000,2025-08-01 14:17:37+00:00,45.0,0.01,0.0,0.0,0.0,0.0,10,0,0.500005,False,REGULAR,USD
AAPL260116P00050000,2025-07-31 13:38:08+00:00,50.0,0.01,0.0,0.0,0.0,0.0,60,0,0.500005,False,REGULAR,USD
AAPL260116P00055000,2025-07-08 19:16:59+00:00,55.0,0.02,0.0,0.0,0.0,0.0,1,0,0.500005,False,REGULAR,USD
AAPL260116P00060000,2025-07-24 18:11:19+00:00,60.0,0.03,0.0,0.0,0.0,0.0,1,0,0.2500075,False,REGULAR,USD
AAPL260116P00065000,2025-07-31 18:37:05+00:00,65.0,0.05,0.0,0.0,0.0,0.0,1,0,0.2500075,False,REGULAR,USD
AAPL260116P00070000,2025-08-01 16:00:27+00:00,70.0,0.04,0.0,0.0,0.0,0.0,6,0,0.2500075,False,REGULAR,USD
AAPL260116P00075000,2025-08-05 14:33:58+00:00,75.0,0.02,0.0,0.0,0.0,0.0,24,0,0.2500075,False,REGULAR,USD
AAPL260116P00080000,2025-08-05 14:35:39+00:00,80.0,0.03,0.0,0.0,0.0,0.0,22,0,0.2500075,False,REGULAR,USD
AAPL260116P00085000,2025-07-31 18:38:17+00:00,85.0,0.08,0.0,0.0,0.0,0.0,4,0,0.2500075,False,REGULAR,USD
AAPL260116P00090000,2025-08-05 15:40:47+00:00,90.0,0.09,0.0,0.0,0.0,0.0,108,0,0.2500075,False,REGULAR,USD
AAPL260116P00095000,2025-08-04 16:34:16+00:00,95.0,0.11,0.0,0.0,0.0,0.0,1,0,0.2500075,False,REGULAR,USD
AAPL260116P00100000,2025-08-05 19:47:02+00:00,100.0,0.13,0.0,0.0,0.0,0.0,594,0,0.2500075,False,REGULAR,USD
AAPL260116P00105000,2025-08-01 15:39:02+00:00,105.0,0.22,0.0,0.0,0.0,0.0,3,0,0.2500075,False,REGULAR,USD
AAPL260116P00110000,2025-08-05 17:29:49+00:00,110.0,0.23,0.0,0.0,0.0,0.0,10,0,0.2500075,False,REGULAR,USD
AAPL260116P00115000,2025-08-05 18:07:16+00:00,115.0,0.27,0.0,0.0,0.0,0.0,13,0,0.12500875,False,REGULAR,USD
AAPL260116P00120000,2025-08-05 13:30:04+00:00,120.0,0.38,0.0,0.0,0.0,0.0,1,0,0.12500875,False,REGULAR,USD
AAPL260116P00125000,2025-08-04 17:14:51+00:00,125.0,0.45,0.0,0.0,0.0,0.0,2,0,0.12500875,False,REGULAR,USD
AAPL260116P00130000,2025-08-05 14:03:12+00:00,130.0,0.55,0.0,0.0,0.0,0.0,1,0,0.12500875,False,REGULAR,USD
AAPL260116P00135000,2025-08-01 18:11:05+00:00,135.0,0.87,0.0,0.0,0.0,0.0,4,0,0.12500875,False,REGULAR,USD
AAPL260116P00140000,2025-08-05 19:27:59+00:00,140.0,0.89,0.0,0.0,0.0,0.0,18,0,0.12500875,False,REGULAR,USD
AAPL260116P00145000,2025-08-05 18:59:24+00:00,145.0,1.11,0.0,0.0,0.0,0.0,2,0,0.12500875,False,REGULAR,USD
AAPL260116P00150000,2025-08-05 19:24:20+00:00,150.0,1.37,0.0,0.0,0.0,0.0,20,0,0.12500875,False,REGULAR,USD
AAPL260116P00155000,2025-08-05 14:16:10+00:00,155.0,1.67,0.0,0.0,0.0,0.0,217,0,0.062509375,False,REGULAR,USD
AAPL260116P00160000,2025-08-05 19:45:09+00:00,160.0,2.2,0.0,0.0,0.0,0.0,1047,0,0.062509375,False,REGULAR,USD
AAPL260116P00165000,2025-08-05 19:17:20+00:00,165.0,2.7,0.0,0.0,0.0,0.0,7,0,0.062509375,False,REGULAR,USD
AAPL260116P00170000,2025-08-05 19:18:18+00:00,170.0,3.3,0.0,0.0,0.0,0.0,47,0,0.062509375,False,REGULAR,USD
AAPL260116P00175000,2025-08-05 19:58:06+00:00,175.0,4.23,0.0,0.0,0.0,0.0,8,0,0.062509375,False,REGULAR,USD
AAPL260116P00180000,2025-08-05 19:58:06+00:00,180.0,5.22,0.0,0.0,0.0,0.0,1600,0,0.0312596875,False,REGULAR,USD
AAPL260116P00185000,2025-08-05 19:47:11+00:00,185.0,6.4,0.0,0.0,0.0,0.0,208,0,0.0312596875,False,REGULAR,USD
AAPL260116P00190000,2025-08-05 19:50:45+00:00,190.0,7.8,0.0,0.0,0.0,0.0,45,0,0.0312596875,False,REGULAR,USD
AAPL260116P00195000,2025-08-05 19:21:30+00:00,195.0,9.15,0.0,0.0,0.0,0.0,64,0,0.015634843750000002,False,REGULAR,USD
AAPL260116P00200000,2025-08-05 19:51:47+00:00,200.0,11.28,0.0,0.0,0.0,0.0,935,0,0.007822421875,False,REGULAR,USD
AAPL260116P00205000,2025-08-05 15:55:28+00:00,205.0,13.05,0.0,0.0,0.0,0.0,139,0,1.0000000000000003e-05,True,REGULAR,USD
AAPL260116P00210000,2025-08-05 19:59:27+00:00,210.0,15.95,0.0,0.0,0.0,0.0,63,0,1.0000000000000003e-05,True,REGULAR,USD
AAPL260116P00215000,2025-08-05 16:23:02+00:00,215.0,18.3,0.0,0.0,0.0,0.0,29,0,1.0000000000000003e-05,True,REGULAR,USD
AAPL260116P00220000,2025-08-05 19:59:34+00:00,220.0,21.9,0.0,0.0,0.0,0.0,100,0,1.0000000000000003e-05,True,REGULAR,USD
AAPL260116P00225000,2025-08-05 17:33:41+00:00,225.0,24.65,0.0,0.0,0.0,0.0,7,0,1.0000000000000003e-05,True,REGULAR,USD
AAPL260116P00230000,2025-08-05 15:25:55+00:00,230.0,27.9,0.0,0.0,0.0,0.0,151,0,1.0000000000000003e-05,True,REGULAR,USD
AAPL260116P00235000,2025-08-04 18:54:15+00:00,235.0,33.87,0.0,0.0,0.0,0.0,158,0,1.0000000000000003e-05,True,REGULAR,USD
AAPL260116P00240000,2025-08-05 16:59:56+00:00,240.0,36.95,0.0,0.0,0.0,0.0,303,0,1.0000000000000003e-05,True,REGULAR,USD
AAPL260116P00245000,2025-08-01 19:50:00+00:00,245.0,42.5,0.0,0.0,0.0,0.0,123,0,1.0000000000000003e-05,True,REGULAR,USD
AAPL260116P00250000,2025-08-05 19:45:07+00:00,250.0,47.2,0.0,0.0,0.0,0.0,2,0,1.0000000000000003e-05,True,REGULAR,USD
AAPL260116P00255000,2025-07-24 19:56:35+00:00,255.0,41.8,0.0,0.0,0.0,0.0,9,0,1.0000000000000003e-05,True,REGULAR,USD
AAPL260116P00260000,2025-07-25 13:54:31+00:00,260.0,46.1,0.0,0.0,0.0,0.0,1,0,1.0000000000000003e-05,True,REGULAR,USD
AAPL260116P00265000,2025-06-27 19:57:07+00:00,265.0,63.95,50.35,52.1,0.0,0.0,100,125,1.0000000000000003e-05,True,REGULAR,USD
AAPL260116P00270000,2025-07-17 18:12:59+00:00,270.0,58.78,0.0,0.0,0.0,0.0,4,0,1.0000000000000003e-05,True,REGULAR,USD
AAPL260116P00275000,2025-06-30 15:04:52+00:00,275.0,75.18,65.15,67.3,0.0,0.0,18,0,1.0000000000000003e-05,True,REGULAR,USD
AAPL260116P00280000,2025-07-11 15:26:02+00:00,280.0,69.06,0.0,0.0,0.0,0.0,2,0,1.0000000000000003e-05,True,REGULAR,USD
AAPL260116P00285000,2025-03-07 17:30:53+00:00,285.0,48.35,0.0,0.0,0.0,0.0,85,0,1.0000000000000003e-05,True,REGULAR,USD
AAPL260116P00290000,2025-07-14 15:40:26+00:00,290.0,81.01,0.0,0.0,0.0,0.0,1,0,1.0000000000000003e-05,True,REGULAR,USD
AAPL260116P00295000,2025-07-10 19:43:39+00:00,295.0,82.34,0.0,0.0,0.0,0.0,1,0,1.0000000000000003e-05,True,REGULAR,USD
AAPL260116P00300000,2025-05-29 16:01:51+00:00,300.0,101.45,98.3,99.45,0.0,0.0,1,0,0.41138283935546877,True,REGULAR,USD
AAPL260116P00310000,2025-07-10 19:43:39+00:00,310.0,97.03,0.0,0.0,0.0,0.0,1,0,1.0000000000000003e-05,True,REGULAR,USD
AAPL260116P00315000,2025-07-10 19:43:39+00:00,315.0,102.05,0.0,0.0,0.0,0.0,1,0,1.0000000000000003e-05,True,REGULAR,USD
AAPL260116P00320000,2025-05-01 13:35:09+00:00,320.0,108.68,117.35,120.05,0.0,0.0,10,0,0.4842580871582032,True,REGULAR,USD
AAPL260116P00330000,2025-05-05 16:53:30+00:00,330.0,130.14,125.85,128.35,0.0,0.0,1,0,0.42310147216796873,True,REGULAR,USD
AAPL260116P00340000,2025-05-15 18:07:13+00:00,340.0,128.92,142.3,144.95,0.0,0.0,2,0,0.6511265356445313,True,REGULAR,USD
AAPL260116P00350000,2025-04-21 14:12:34+00:00,350.0,157.68,142.85,144.3,0.0,0.0,4,0,1.0000000000000003e-05,True,REGULAR,USD
AAPL260116P00360000,2025-05-15 19:45:55+00:00,360.0,149.59,161.95,165.15,0.0,0.0,2,0,0.6942169250488281,True,REGULAR,USD
AAPL260116P00370000,2025-04-04 15:13:41+00:00,370.0,173.2,170.1,171.55,0.0,0.0,1,0,0.6217078845214845,True,REGULAR,USD
AAPL260116P00390000,2025-06-24 14:55:49+00:00,390.0,188.0,174.65,177.2,0.0,0.0,5,0,1.0000000000000003e-05,True,REGULAR,USD
