,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,MSFT250801C00240000,2025-07-25 14:21:23+00:00,240.0,272.17,272.3,275.9,1.1900024,0.43914768,1.0,2.0,2.798831127929688,True,REGULAR,USD
1,MSFT250801C00250000,2025-06-25 14:51:14+00:00,250.0,244.4,261.95,265.9,0.0,0.0,,1.0,2.474613188476563,True,REGULAR,USD
2,MSFT250801C00300000,2025-07-25 19:18:03+00:00,300.0,217.65,,,0.0,0.0,,,0.0,True,REGULAR,USD
3,MSFT250801C00310000,2025-07-16 15:09:20+00:00,310.0,195.35,202.0,205.95,0.0,0.0,19.0,14.0,1.8320320898437497,True,REGULAR,USD
4,MSFT250801C00320000,2025-07-25 15:53:30+00:00,320.0,193.84,192.0,196.0,8.610001,4.6482754,1.0,1.0,1.7470715771484375,True,REGULAR,USD
5,MSFT250801C00325000,2025-07-21 19:54:39+00:00,325.0,185.25,187.0,191.0,0.0,0.0,1.0,7.0,1.6953140234375002,True,REGULAR,USD
6,MSFT250801C00350000,2025-07-24 19:59:19+00:00,350.0,161.72,162.05,166.0,0.0,0.0,1.0,2878.0,1.4628933105468749,True,REGULAR,USD
7,MSFT250801C00360000,2025-07-25 14:14:02+00:00,360.0,152.7,152.05,156.0,7.029999,4.825976,1.0,2567.0,1.3671906640625,True,REGULAR,USD
8,MSFT250801C00365000,2025-07-25 19:27:26+00:00,365.0,151.94,147.05,151.0,22.570007,17.44609,1.0,9.0,1.3193393408203122,True,REGULAR,USD
9,MSFT250801C00370000,2025-07-18 19:12:02+00:00,370.0,142.1,142.75,146.0,0.0,0.0,2.0,2.0,1.4228544482421874,True,REGULAR,USD
10,MSFT250801C00375000,2025-07-23 13:30:28+00:00,375.0,130.0,137.35,141.05,0.0,0.0,5.0,6.0,1.307620649414062,True,REGULAR,USD
11,MSFT250801C00380000,2025-07-25 19:33:55+00:00,380.0,137.28,132.05,136.05,4.2299957,3.1792526,3.0,1.0,1.1943399658203124,True,REGULAR,USD
12,MSFT250801C00385000,2025-07-25 19:22:50+00:00,385.0,132.82,127.05,131.05,4.9500046,3.8711226,6.0,9.0,1.1484417578125,True,REGULAR,USD
13,MSFT250801C00390000,2025-07-24 16:08:34+00:00,390.0,122.12,122.1,126.05,0.0,0.0,7.0,17.0,1.1142622412109375,True,REGULAR,USD
14,MSFT250801C00395000,2025-07-25 19:48:08+00:00,395.0,121.63,117.1,121.05,5.3099976,4.564991,42.0,6.0,1.0693405908203126,True,REGULAR,USD
15,MSFT250801C00400000,2025-07-25 19:59:14+00:00,400.0,114.12,112.1,116.05,1.5100021,1.340913,5.0,197.0,1.0244189404296877,True,REGULAR,USD
16,MSFT250801C00405000,2025-07-24 19:29:39+00:00,405.0,107.3,107.1,111.05,0.0,0.0,1.0,15.0,0.9804689453125001,True,REGULAR,USD
17,MSFT250801C00410000,2025-07-25 19:23:51+00:00,410.0,107.62,102.1,106.05,5.4000015,5.282725,3.0,19.0,0.9360357958984374,True,REGULAR,USD
18,MSFT250801C00415000,2025-07-25 15:36:27+00:00,415.0,99.2,97.1,101.05,10.68,12.06507,1.0,53.0,0.89257919921875,True,REGULAR,USD
19,MSFT250801C00420000,2025-07-25 17:32:55+00:00,420.0,95.52,92.1,96.1,6.2299957,6.97726,2.0,70.0,0.8579115771484375,True,REGULAR,USD
20,MSFT250801C00425000,2025-07-25 19:33:42+00:00,425.0,92.3,87.1,91.1,12.710007,15.969353,14.0,22.0,0.81445498046875,True,REGULAR,USD
21,MSFT250801C00430000,2025-07-25 19:54:17+00:00,430.0,85.07,82.7,86.1,2.290001,2.7663698,28.0,62.0,0.850587431640625,True,REGULAR,USD
22,MSFT250801C00435000,2025-07-25 14:07:01+00:00,435.0,77.0,77.35,81.1,-0.34999847,-0.45248672,2.0,291.0,0.7631859619140625,True,REGULAR,USD
23,MSFT250801C00437500,2025-07-23 18:38:04+00:00,437.5,68.7,,,0.0,0.0,,,0.0,True,REGULAR,USD
24,MSFT250801C00440000,2025-07-25 19:44:15+00:00,440.0,76.39,72.15,76.1,3.1399994,4.286689,10.0,145.0,0.6928741650390625,True,REGULAR,USD
25,MSFT250801C00445000,2025-07-25 19:13:06+00:00,445.0,72.87,67.75,71.15,5.670006,8.43751,7.0,78.0,0.7219266088867188,True,REGULAR,USD
26,MSFT250801C00447500,2025-07-25 13:32:43+00:00,447.5,64.65,,,0.0,0.0,,,0.0,True,REGULAR,USD
27,MSFT250801C00450000,2025-07-25 19:59:52+00:00,450.0,64.0,63.0,66.15,1.5,2.4,1854.0,120.0,0.6972686523437501,True,REGULAR,USD
28,MSFT250801C00452500,2025-07-24 16:56:50+00:00,452.5,61.1,,,0.0,0.0,,,0.0,True,REGULAR,USD
29,MSFT250801C00455000,2025-07-25 19:57:37+00:00,455.0,59.04,58.75,59.7,1.2099991,2.092338,33.0,37.0,0.586918193359375,True,REGULAR,USD
30,MSFT250801C00457500,2025-07-23 14:15:08+00:00,457.5,45.3,,,0.0,0.0,,,0.0,True,REGULAR,USD
31,MSFT250801C00460000,2025-07-25 19:54:06+00:00,460.0,55.1,53.4,55.05,2.6800003,5.112553,21.0,170.0,0.5429733203125001,True,REGULAR,USD
32,MSFT250801C00462500,2025-07-25 19:55:00+00:00,462.5,52.25,,,0.75,1.4563106,,,0.0,True,REGULAR,USD
