contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
MSFT250801P00240000,2025-07-15 13:57:28+00:00,240.0,0.01,0.0,0.0,0.0,0.0,1.0,0.0,0.500005,False,REGULAR,USD
MSFT250801P00300000,2025-07-02 13:33:52+00:00,300.0,0.07,0.0,0.0,0.0,0.0,2.0,0.0,0.500005,False,REGULAR,USD
MSFT250801P00305000,2025-07-22 13:46:01+00:00,305.0,0.01,,0.0,0.0,0.0,,0.0,0.500005,False,REGULAR,USD
MSFT250801P00315000,2025-07-01 17:05:04+00:00,315.0,0.08,0.0,0.0,0.0,0.0,2.0,0.0,0.500005,False,REGULAR,USD
MSFT250801P00320000,2025-07-16 17:50:03+00:00,320.0,0.03,,0.0,0.0,0.0,,0.0,0.500005,False,REGULAR,USD
MSFT250801P00325000,2025-06-27 15:00:58+00:00,325.0,0.1,0.0,0.02,0.0,0.0,5.0,5.0,1.21875390625,False,REGULAR,USD
MSFT250801P00340000,2025-07-18 14:10:23+00:00,340.0,0.03,0.0,0.0,0.0,0.0,1.0,0.0,0.500005,False,REGULAR,USD
MSFT250801P00345000,2025-07-15 13:46:54+00:00,345.0,0.06,0.0,0.0,0.0,0.0,16.0,0.0,0.500005,False,REGULAR,USD
MSFT250801P00350000,2025-07-17 13:53:26+00:00,350.0,0.03,0.0,0.0,0.0,0.0,4.0,0.0,0.500005,False,REGULAR,USD
MSFT250801P00355000,2025-07-22 13:39:59+00:00,355.0,0.04,0.0,0.0,0.0,0.0,3.0,0.0,0.500005,False,REGULAR,USD
MSFT250801P00360000,2025-07-25 19:48:17+00:00,360.0,0.01,0.0,0.0,-0.01,-50.0,14.0,0.0,0.500005,False,REGULAR,USD
MSFT250801P00365000,2025-07-23 14:15:52+00:00,365.0,0.02,0.0,0.0,0.0,0.0,40.0,0.0,0.500005,False,REGULAR,USD
MSFT250801P00370000,2025-07-21 17:52:56+00:00,370.0,0.03,0.0,0.0,0.0,0.0,30.0,0.0,0.500005,False,REGULAR,USD
MSFT250801P00375000,2025-07-22 13:30:00+00:00,375.0,0.02,0.0,0.0,0.0,0.0,5.0,0.0,0.500005,False,REGULAR,USD
MSFT250801P00380000,2025-07-21 16:41:08+00:00,380.0,0.03,0.0,0.0,0.0,0.0,10.0,0.0,0.500005,False,REGULAR,USD
MSFT250801P00385000,2025-07-25 18:12:17+00:00,385.0,0.02,0.0,0.0,0.0,0.0,11.0,0.0,0.500005,False,REGULAR,USD
MSFT250801P00390000,2025-07-25 18:14:39+00:00,390.0,0.02,0.0,0.0,-0.02,-50.0,10.0,0.0,0.500005,False,REGULAR,USD
MSFT250801P00395000,2025-07-25 19:18:42+00:00,395.0,0.01,0.0,0.0,0.0,0.0,12.0,0.0,0.500005,False,REGULAR,USD
MSFT250801P00400000,2025-07-25 19:47:51+00:00,400.0,0.01,0.0,0.0,-0.01,-50.0,24.0,0.0,0.500005,False,REGULAR,USD
